Point Number , Temperature ,Uncertainty,,,,,
431,53.882473,0.061307963,,,,,
432,54.216862,0.06168983,,,,,
433,54.199262,0.061669731,,,,,
434,54.252061,0.061730027,,,,,
435,54.199262,0.061669731,,,,,
436,53.917672,0.061348159,,,,,
437,54.252061,0.061730027,,,,,
438,54.234461,0.061709928,,,,,
439,54.181663,0.061649633,,,,,
440,53.917672,0.061348159,,,,,
441,54.216862,0.06168983,,,,,
442,53.917672,0.061348159,,,,,
443,53.917672,0.061348159,,,,,
444,53.900073,0.061328062,,,,,
445,54.287259,0.061770222,,,,,
446,54.26966,0.061750124,,,,,
447,53.935272,0.061368258,,,,,
448,53.952871,0.061388356,,,,,
449,54.26966,0.061750124,,,,,
450,54.216862,0.06168983,,,,,
451,53.952871,0.061388356,,,,,
452,53.952871,0.061388356,,,,,
453,53.952871,0.061388356,,,,,
454,54.076067,0.061529044,,,,,
455,53.97047,0.061408454,,,,,
456,54.26966,0.061750124,,,,,
457,53.952871,0.061388356,,,,,
458,53.97047,0.061408454,,,,,
459,54.287259,0.061770222,,,,,
460,53.98807,0.061428553,,,,,
461,54.304859,0.061790321,,,,,
462,54.005669,0.061448651,,,,,
463,54.023269,0.06146875,,,,,
464,53.98807,0.061428553,,,,,
465,54.392856,0.061890812,,,,,
466,54.340057,0.061830517,,,,,
467,54.392856,0.061890812,,,,,
468,54.040868,0.061488847,,,,,
469,54.410455,0.06191091,,,,,
470,54.058467,0.061508945,,,,,
471,54.340057,0.061830517,,,,,
472,54.023269,0.06146875,,,,,
473,54.040868,0.061488847,,,,,
474,54.058467,0.061508945,,,,,
475,54.410455,0.06191091,,,,,
476,54.076067,0.061529044,,,,,
477,54.375256,0.061870714,,,,,
478,54.111265,0.06156924,,,,,
479,54.076067,0.061529044,,,,,
480,54.392856,0.061890812,,,,,
481,54.076067,0.061529044,,,,,
482,54.463253,0.061971205,,,,,
483,54.428054,0.061931008,,,,,
484,54.410455,0.06191091,,,,,
485,54.076067,0.061529044,,,,,
486,54.428054,0.061931008,,,,,
487,54.498452,0.062011402,,,,,
488,54.146464,0.061609436,,,,,
489,54.181663,0.061649633,,,,,
490,54.128865,0.061589339,,,,,
491,54.463253,0.061971205,,,,,
492,54.498452,0.062011402,,,,,
493,54.146464,0.061609436,,,,,
494,54.164064,0.061629535,,,,,
495,54.480853,0.061991304,,,,,
496,54.55125,0.062071696,,,,,
497,54.199262,0.061669731,,,,,
498,54.586449,0.062111893,,,,,
499,54.604048,0.062131991,,,,,
500,54.216862,0.06168983,,,,,
501,54.181663,0.061649633,,,,,
502,54.533651,0.062051598,,,,,
503,54.586449,0.062111893,,,,,
504,54.604048,0.062131991,,,,,
505,54.252061,0.061730027,,,,,
506,54.56885,0.062091795,,,,,
507,54.604048,0.062131991,,,,,
508,54.656846,0.062192285,,,,,
509,54.656846,0.062192285,,,,,
510,54.304859,0.061790321,,,,,
511,54.26966,0.061750124,,,,,
512,54.26966,0.061750124,,,,,
513,54.287259,0.061770222,,,,,
514,54.621648,0.06215209,,,,,
515,54.410455,0.06191091,,,,,
516,54.322458,0.061810419,,,,,
517,54.621648,0.06215209,,,,,
518,54.692045,0.062232482,,,,,
519,54.340057,0.061830517,,,,,
520,54.709645,0.062252581,,,,,
521,54.744843,0.062292776,,,,,
522,54.375256,0.061870714,,,,,
523,54.762443,0.062312875,,,,,
524,54.744843,0.062292776,,,,,
525,54.410455,0.06191091,,,,,
526,54.762443,0.062312875,,,,,
527,54.392856,0.061890812,,,,,
528,54.56885,0.062091795,,,,,
529,54.392856,0.061890812,,,,,
530,54.797642,0.062353072,,,,,
531,54.428054,0.061931008,,,,,
532,54.428054,0.061931008,,,,,
533,54.445654,0.061951107,,,,,
534,54.815241,0.06237317,,,,,
535,54.868039,0.062433465,,,,,
536,54.885638,0.062453562,,,,,
537,54.83284,0.062393268,,,,,
538,54.480853,0.061991304,,,,,
539,54.83284,0.062393268,,,,,
540,54.885638,0.062453562,,,,,
541,54.85044,0.062413367,,,,,
542,54.885638,0.062453562,,,,,
543,54.55125,0.062071696,,,,,
544,54.903238,0.062473661,,,,,
545,54.85044,0.062413367,,,,,
546,54.938437,0.062513858,,,,,
547,54.885638,0.062453562,,,,,
548,54.956036,0.062533956,,,,,
549,54.604048,0.062131991,,,,,
550,54.55125,0.062071696,,,,,
551,54.920837,0.062493759,,,,,
552,54.885638,0.062453562,,,,,
553,54.604048,0.062131991,,,,,
554,54.973635,0.062554054,,,,,
555,54.639247,0.062172187,,,,,
556,54.639247,0.062172187,,,,,
557,54.639247,0.062172187,,,,,
558,55.008834,0.06259425,,,,,
559,54.656846,0.062192285,,,,,
560,54.674446,0.062212384,,,,,
561,54.709645,0.062252581,,,,,
562,54.692045,0.062232482,,,,,
563,55.079232,0.062674644,,,,,
564,55.061632,0.062654545,,,,,
565,54.692045,0.062232482,,,,,
566,54.709645,0.062252581,,,,,
567,54.727244,0.062272679,,,,,
568,55.114431,0.062714841,,,,,
569,54.762443,0.062312875,,,,,
570,55.079232,0.062674644,,,,,
571,54.780042,0.062332973,,,,,
572,54.762443,0.062312875,,,,,
573,54.762443,0.062312875,,,,,
574,54.780042,0.062332973,,,,,
575,54.797642,0.062353072,,,,,
576,54.797642,0.062353072,,,,,
577,54.797642,0.062353072,,,,,
578,54.797642,0.062353072,,,,,
579,55.220027,0.06283543,,,,,
580,54.85044,0.062413367,,,,,
581,54.868039,0.062433465,,,,,
582,54.83284,0.062393268,,,,,
583,54.83284,0.062393268,,,,,
584,54.868039,0.062433465,,,,,
585,54.868039,0.062433465,,,,,
586,55.255226,0.062875627,,,,,
587,55.290424,0.062915822,,,,,
588,55.220027,0.06283543,,,,,
589,54.938437,0.062513858,,,,,
590,54.885638,0.062453562,,,,,
591,54.920837,0.062493759,,,,,
592,55.202427,0.062815331,,,,,
593,55.325623,0.062956019,,,,,
594,54.956036,0.062533956,,,,,
595,55.41362,0.06305651,,,,,
596,54.938437,0.062513858,,,,,
597,55.290424,0.062915822,,,,,
598,55.008834,0.06259425,,,,,
599,55.360822,0.062996216,,,,,
600,55.325623,0.062956019,,,,,
601,54.991235,0.062574153,,,,,
602,55.360822,0.062996216,,,,,
603,55.026434,0.062614349,,,,,
604,55.343223,0.062976118,,,,,
605,55.044033,0.062634447,,,,,
606,55.044033,0.062634447,,,,,
607,55.026434,0.062614349,,,,,
608,55.378421,0.063016314,,,,,
609,55.360822,0.062996216,,,,,
610,55.396021,0.063036413,,,,,
611,55.079232,0.062674644,,,,,
612,55.079232,0.062674644,,,,,
613,55.448819,0.063096707,,,,,
614,55.41362,0.06305651,,,,,
615,55.519216,0.0631771,,,,,
616,55.079232,0.062674644,,,,,
617,55.484018,0.063136904,,,,,
618,55.114431,0.062714841,,,,,
619,55.096831,0.062694742,,,,,
620,55.466418,0.063116805,,,,,
621,55.149629,0.062755036,,,,,
622,55.519216,0.0631771,,,,,
623,55.43122,0.063076609,,,,,
624,55.167229,0.062775135,,,,,
625,55.536816,0.063197199,,,,,
626,55.202427,0.062815331,,,,,
627,55.184828,0.062795233,,,,,
628,55.589614,0.063257493,,,,,
629,55.466418,0.063116805,,,,,
630,55.220027,0.06283543,,,,,
631,55.220027,0.06283543,,,,,
632,55.554415,0.063217296,,,,,
633,55.589614,0.063257493,,,,,
634,55.220027,0.06283543,,,,,
635,55.572015,0.063237395,,,,,
636,55.255226,0.062875627,,,,,
